 # Stepsize:  0.0460015994    
 # Boxcars width:  152.955318 
 # Factor of the sigma:  500. 
         1    906.8660623         4749.9      0.00 1.028   4752.40162943     0.33328159
         2    906.8864965         4689.3      0.00 1.028   4691.79918229     0.34721589
         3    906.9069309         5506.3      0.00 1.028   5508.79673513     0.17292256
         4    906.9273651         8202.1      0.00 1.028   8204.59428799    -0.25957835
         5    906.9477993        10704.7      0.00 1.028  10707.19184085    -0.54862453
         6    906.9682337        10638.1      0.00 1.028  10640.58939369    -0.54184978
         7    906.9886678         9748.3      0.00 1.028   9750.78694656    -0.44703474
         8    907.0091021         8980.5      0.00 1.028   8982.98449941    -0.35798720
         9    907.0295364         8395.0      0.00 1.028   8397.48205226    -0.28480828
        10    907.0499706         7913.0      0.00 1.028   7915.47960512    -0.22062866
        11    907.0704049         7497.7      0.00 1.028   7500.17715797    -0.16211437
        12    907.0908392         7138.3      0.00 1.028   7140.77471082    -0.10879890
        13    907.1112734         6809.9      0.00 1.028   6812.37226368    -0.05768150
        14    907.1317076         6523.4      0.00 1.028   6525.86981654    -0.01103158
        15    907.1521420         6220.4      0.00 1.028   6222.86736938     0.04058807
        16    907.1725762         5963.4      0.00 1.028   5965.86492224     0.08638089
        17    907.1930105         5755.0      0.00 1.028   5757.46247509     0.12498664
        18    907.2134447         5582.5      0.00 1.028   5584.96002795     0.15801426
        19    907.2338790         5485.6      0.00 1.028   5488.05758080     0.17701778
        20    907.2747475         5363.0      0.00 1.028   5365.45268651     0.20154851
        21    907.2951818         5298.4      0.00 1.028   5300.85023936     0.21470059
        22    907.3156161         5260.8      0.00 1.028   5263.24779221     0.22242989
        23    907.3360503         5288.3      0.00 1.028   5290.74534507     0.21677228
        24    907.3564845         5279.7      0.00 1.028   5282.14289794     0.21853906
        25    907.3769189         5038.0      0.00 1.028   5040.44045077     0.26939321
        26    907.3973530         4775.4      0.00 1.028   4777.83800365     0.32748588
        27    907.4177874         4699.1      0.00 1.028   4701.53555648     0.34496512
        28    907.4382215         5316.1      0.00 1.028   5318.53310936     0.21108476
        29    907.4586558         7898.0      0.00 1.028   7900.43066221    -0.21856248
        30    907.4790901        10544.5      0.00 1.028  10546.92821506    -0.53225055
        31    907.4995243        10736.0      0.00 1.028  10738.42576792    -0.55178712
        32    907.5199585         9840.9      0.00 1.028   9843.32332078    -0.45728995
        33    907.5403929         9065.0      0.00 1.028   9067.42087362    -0.36814501
        34    907.5608271         8446.6      0.00 1.028   8449.01842648    -0.29145121
        35    907.5812613         7951.5      0.00 1.028   7953.91597934    -0.22588807
        36    907.6016957         7536.9      0.00 1.028   7539.31353218    -0.16776508
        37    907.6221298         7167.8      0.00 1.028   7170.21108505    -0.11326542
        38    907.6425642         6847.2      0.00 1.028   6849.60863789    -0.06359997
        39    907.6629984         6537.9      0.00 1.028   6540.30619075    -0.01343077
        40    907.6834327         6259.7      0.00 1.028   6262.10374360     0.03376378
        41    907.7038669         5983.8      0.00 1.028   5986.20129646     0.08268614
        42    907.7243012         5774.0      0.00 1.028   5776.39884931     0.12142150
        43    907.7447354         5595.4      0.00 1.028   5597.79640217     0.15552168
